course,Skills_Text
Digital Manufacturing & Design Technology,"c, cloud computing, data visualization, git, machine learning, r"
Understanding Clinical Research: Behind the Statistics,"c, r"
Practical Guide to Trading,"c, r"
Meta AR Developer,"c, java, javascript, r"
Health Informatics,"c, data science, databases, r"
PostgreSQL for Everybody,"c, databases, python, r, sql"
Introduction to Software Engineering,"agile software development, c, python, r, software engineering"
Positive Psychiatry and Mental Health,"c, r"
Machine Learning Data Lifecycle in Production,"c, feature engineering, machine learning, python, r, tensorflow"
Healthy and Sustainable Foods and Products,"c, r"
Corporate Strategy,"c, r"
Healthcare Law,"c, r"
IBM & Darden Digital Strategy,c
Financial Management,"c, r"
Digital Technologies and the Future of Manufacturing,"c, feature engineering, r"
Java FullStack Developer,"c, java, javascript, r, web development"
The Path to Insights: Data Models and Pipelines,"c, r"
Write Professional Emails in English,"c, r"
Game Design: Art and Concepts,"c, r"
Convolutional Neural Networks in TensorFlow,"c, computer vision, deep learning, machine learning, neural networks, python, r, tensorflow"
Work Smarter with Microsoft Excel,"c, data visualization, databases, r"
Managerial Accounting Fundamentals,"c, r"
Learn Spanish: Basic Spanish Vocabulary,"c, r"
Extended Reality for Everybody,"c, r"
Data Management for Clinical Research,"c, r"
Data Analysis with R,"c, r"
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),"c, r"
Behavioral Finance,"c, r"
Customer Experiences with Contact Center AI - Dialogflow CX,"c, machine learning, r"
"Introduction to Web Development with HTML, CSS, JavaScript","c, java, javascript, r, web development"
Organizational Leadership,"c, r"
Introduction to Psychology,r
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,"c, feature engineering, r, software engineering"
Investment and Portfolio Management,"c, r"
Viral Marketing and How to Craft Contagious Content,"c, r"
"Aspectos básicos: Datos, datos, en todas partes","c, databases, r, sql"
Project Planning,r
"Make the Sale: Build, Launch, and Manage E-commerce Stores","c, git, r"
"AI, Business & the Future of Work","c, machine learning, r"
Climate Change and Sustainable Investing,"c, r"
Go Beyond the Numbers: Translate Data into Insights,"python, r, tableau"
"Modern Robotics:  Mechanics, Planning, and Control","c, matlab, python, r"
Epidemiology in Public Health Practice,"data visualization, r"
Introduction to Large Language Models,r
Excel to MySQL: Analytic Techniques for Business,"c, data visualization, databases, r, sql, tableau"
Site Reliability Engineering: Measuring and Managing Reliability,"c, r, software engineering"
Emotional Intelligence: Cultivating Immensely Human Interactions,"c, r"
Learn English: Beginning Grammar,"c, r"
"Songwriting: Writing, Arranging, and Producing Music",r
Google Cloud Fundamentals: Core Infrastructure,"c, cloud computing, kubernetes, r"
Optical Engineering,r
Value Chain Management,"c, r"
Introductory Human Physiology,
Become an EMT,"c, r"
Customer Service Fundamentals,"c, r"
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital","c, r"
Instructional Methods in Health Professions Education,r
Gamification,"c, r"
Music Education for Teachers,r
Child Nutrition and Cooking,r
Medical Terminology,"c, r"
Fundamentals of Flight mechanics,"c, r"
Using Public Policy for Social Change,r
Google Digital Marketing & E-commerce,
Blockchain Revolution,"c, r"
Autodesk CAD/CAM/CAE for Mechanical Engineering,r
TensorFlow: Data and Deployment,"c, computer vision, deep learning, java, javascript, machine learning, neural networks, python, r, tensorflow, web development"
Exploratory Data Analysis for Machine Learning,"c, feature engineering, machine learning, r"
Programming in C++: A Hands-on Introduction,"c, r"
Introduction to Corporate Finance,"c, r"
Agile Leadership,"c, r"
تحليلات البيانات من Google,"c, data visualization, databases, python, r, sql"
Introduction to Cyber Security,"c, cloud computing, r"
Google Data Analytics (DE),"c, r, software engineering, sql"
Python and Statistics for Financial Analysis,"c, python, r"
Introduction to Philosophy,r
Natural Language Processing with Probabilistic Models,"c, machine learning, python, r"
Economics of Money and Banking,c
Design a User Experience for Social Good & Prepare for Jobs,"c, r"
Fundamentos de la gestión de proyectos,"c, r"
"Sequences, Time Series and Prediction","c, data visualization, deep learning, machine learning, neural networks, r, tensorflow"
The Manager's Toolkit: A Practical Guide to Managing People at Work,"c, r"
Managing Cybersecurity,"c, r"
Python Data Structures,"c, python, r, software engineering"
Cybersecurity Operations Fundamentals,r
Build Basic Generative Adversarial Networks (GANs),"c, deep learning, machine learning, neural networks, python, r"
